0541,Needle Biopsy: Other sites (no after-care) (modifier 0005 not applicable),,
0543,Biopsy: Open (modifier 0005 not applicable): Readily accessible site (Do not charge for a anaesthesiologist - Charge 0541),,
0545,"Biopsy: Open (modifier 0005 not applicable): Less accessible site, Biopsy Acetabulum, Transpedicular biopsy",,
0547,Joint: Dislocation: Clavicle either end,,
0549,Joint: Dislocation: Shoulder,M,
0551,Joint: Dislocation: Elbow,M,
0552,Joint: Dislocation: Wrist,M,
0553,Joint: Dislocation: Perilunar trans-scaphoid fracture dislocation,,
0555,Joint: Dislocation: Lunate,,
0556,Joint: Dislocation: Carpo-metacarpo dislocation,M,
0557,Joint: Dislocation: Metacarpo-phalangeal or interphalangeal (hand),M,
0559,Joint: Dislocation: Hip,M,
0561,Joint: Dislocation: Knee,M,
0563,Joint: Dislocation: Patella,,
0565,Joint: Dislocation: Ankle,,
0567,Joint: Dislocation: Sub-Talar dislocation,,
0569,Joint: Dislocation: Intertarsal or Tarsometatarsal or Mid-tarsal,,
0571,Joint: Dislocation: Meta-tarsophalangeal or interphalangeal joints (foot),,
0573,Joint: Dislocation: Spine with or without paralysis,,
0578,Operations for dislocations: Recurrent dislocation of shoulder,,
0579,Operations for dislocations: Recurrent dislocation of all other joints,,
0582,Capsulotomy or arthrotomy or biopsy or drainage of joint: Small joint (including three weeks after-care),M,
0583,"Capsulotomy or arthrotomy or biopsy or drainage of joint: Large joint (including three weeks after-care), Removal of hematoma (Hip)",M,
0585,Capsulectomy digital joint,,
0586,Multiple percutaneous capsulotomies of metacarpophalangeal joints,,
0587,Release of digital joint contracture,M,
0589,Synovectomy: Digital joint,M,
0592,"Synovectomy: Large joint, Herstel Enkel ligamente, Large joint - Elbow gout tophi excision",M,
0593,"Tendon synovectomy, Tenolysis wrist flexor, Extensors, Plantaar Fascia, Medianus Release, Tendon repair, Ganglion, Release of tennis elbow, Nerve Exploration, Kruis ligamente",M,
0597,Arthrodesis: Shoulder,,
0598,Arthrodesis: Elbow,,
0599,Arthrodesis: Wrist,,
0600,"Arthrodesis: Digital joint, Hallux Atrodese - Kloutoon, Finger",M,
0601,Arthrodesis: Hip,M,
0602,Arthrodesis: Knee,,
0603,Arthrodesis: Ankle,M,
0604,"Arthrodesis: Sub-talar, Foot",M,
0605,Arthrodesis: Stabilisation of foot (triple-arthrodesis),,
0607,Arthrodesis: Mid-tarsal wedge resection,M,
0614,"Arthroplasty: Debridement large joints, Artroskopie, Artroscopy, Artrodese",M,
0615,Arthroplasty: Excision medial or lateral end of clavicle,,
0617,Shoulder: Acromioplasty,M,
0619,Shoulder: Partial replacement,M,
0620,Shoulder: Total replacement,M,
0621,Elbow: Excision head of radius,,
0622,Elbow: Excision,,
0623,Elbow: Partial replacement,M,
0624,Elbow: Total replacement,,
0625,Wrist: Excision distal end of ulna,,
0626,Wrist: Excision single bone,,
0627,Wrist: Excision proximal row,,
0631,Wrist: Total replacement,M,
0635,Digital Joint: Total replacement,M,
0637,"Hip: Total replacement, THR, THV",M,
0641,Hip: Prosthetic replacement of femoral head,M,
0643,Hip: Girdlestone,,
0645,Knee: Partial replacement,,
0646,"Knee: Total replacement, TKR, TKV",M,
0649,Ankle: Total replacement,,
0650,Ankle: Astragalectomy,,
0661,"Aspiration of joint or intra-articular injection (not including after-care) (modifier 0005 not applicable), Infiltration, Aspiration Knee / Lumbar epidural / Kyphoplasty / Fasetblok / Infiltration Knee Joint / Intron Infiltrasie / Arthogram / Koudale Infiltrasie, Lumbar Facial joint, Blood patch, Leomycin Injections, Bleomycin Injection, Trigeminus Gliserol, Spinal lumbar (Gems & Discovery - when 2713 is applicable)",T,
0663,Multiple intra-articular injections for rheumatoid arthritis (excluding after-care) (modifier 0005 not applicable): First joint,,
0665,Multiple intra-articular injections for rheumatoid arthritis (excluding after-care) (modifier 0005 not applicable): Additional (each),,
0667,Arthroscopy (excluding after-care) (modifiers 0005 and 0013 not applicable),T,
0669,"Manipulation large joint under general anaesthetic (not including after-care) (modifier 0005 not applicable), Manipulation knee or shoulder joint, Injection and manipulation",T,
0673,Meniscectomy or operation for other internal derangement of knee,M,
0675,Joint ligament reconstruction or suture: Ankle: Collateral,M,
0677,Joint ligament reconstruction or suture: Knee: Collateral,M,
0678,Joint ligament reconstruction or suture: Knee: Cruciate,M,
0679,"Joint ligament reconstruction or suture: Ligament augmentation procedure of knee, Ant cruciate ligament reconstruction, Art kruisligament & meniskus herstel, Anterior cruciate ligament",,
0680,Joint ligament reconstruction or suture: Digital joint ligament,M,
0682,"Amputation: Fore-quarter amputation, Upper fore arm",,
0683,Amputation: Through shoulder,,
0685,Amputation: Upper arm or fore-arm,,
0687,Partial amputation of the hand: One ray,,
0691,Amputation: Whole or part of finger,M,
0693,Hindquarter amputation,,
0695,Amputation: Through hip joint region,,
0697,Amputation: Through thigh,M,
0699,"Amputation: Below knee, through knee or Syme",,
0701,Amputation: Trans-metatarsal or trans-tarsal,M,
0703,Amputation: Foot: One ray,,
0705,Amputation: Toe,M,
0706,Post-amputation reconstruction: Skin flap taken from a site remote from the injured finger or in cases of an advanced flap e.g. Cutler,,
0707,Post-amputation reconstruction: Krukenberg reconstruction,,
0709,Post-amputation reconstruction: Metacarpal transfer,,
0711,Post-amputation reconstruction: Pollicisation of the finger (to include all stages),,
0712,Post-amputation reconstruction: Toe to thumb transfer,,
0713,Electromyography,,
0714,"Electro-myographic neuromuscular junctional study, including edrophonium response (not to be used with item 2730)",,
0715,Strength duration curve per session,,
0717,Electrical examination of single nerve or muscle,,
0718,Oxidative study for mitochondrial function,,
0721,Voltage integration during isometric contraction,,
0723,Tonometry with edrophonium,,
0725,Isometric tension studies with edrophonium,,
0727,Cranial reflex study (both early and late responses) supra occulofacial or corneofacial or flabellofacial: Unilateral,,
0728,Cranial reflex study (both early and late responses) supra occulofacial or corneofacial or flabellofacial: Bilateral,,
0729,Tendon reflex time,,
0730,Limb brain somatosensory studies (per limb),,
0731,Vision and audio-sensory studies,,
0733,Motor nerve conduction studies (single nerve),,
0735,Examinations of sensory nerve conduction by sweep averages (single nerve),,
0737,Biopsy for motor nerve terminals and end plates,,
0739,Combined muscle biopsy with end plates and nerve terminal biopsy,,
0740,Muscle fatigue studies,,
0741,Muscle biopsy,,
0742,"Global fee for all muscle studies, including histochemical studies",,
0743,Major compartmental decompression,T,
0744,Decompression operation: Fasciotomy only,,
0745,Muscle and tendon repair: Biceps humeri,,
0746,Muscle and tendon repair: Removal of calcification in Rotator cuff,M,
0747,Muscle and tendon repair: Rotator cuff,T,
0748,Muscle and tendon repair: Debridement rotator cuff,T,
0749,Muscle and tendon repair: Scapulopexy - stand alone procedure,,
0755,Muscle and tendon repair: Infrapatellar of quadriceps tendon,T,
0757,Muscle and tendon repair: Achilles tendon repair,T,
0759,Muscle and tendon repair: Other single tendon,T,
0763,Muscle and tendon repair: Tendon or ligament injection,,
0767,Hand: Flexor tendon suture: Primary (per tendon),T,
0769,Hand: Flexor tendon suture: Secondary (per tendon),,
0771,Extensor tendon suture: Primary (per tendon),T,
0773,Extensor tendon suture: Secondary (per tendon),,
0774,Repair of Boutonniere deformity or Mallet finger with graft,T,
0775,Free tendon graft,,
0776,Reconstruction of pulley for flexor tendon,,
0777,Tendon graft: Finger: Flexor,,
0779,Tendon graft: Finger: Extensor,,
0780,Two stage flexor tendon graft using silastic rod,,
0781,"Tendon freeing operation, except where specified elsewhere",T,
0782,Carpal tunnel syndrome,T,
0783,Tenolysis: De Quervain,T,
0784,"Trigger finger, Neller vinger",T,
0785,Flexor tendon freeing operation following free tendon graft or suture,,
0787,"Extensor tendon freeing operation following graft or suture in finger, hand or forearm, each tendon",,
0788,Intrinsic tendon release per finger,,
0789,Central tendon tenotomy for Boutonniere deformity,,
0790,Tenodesis: Digital joint,,
0791,Single tendon transfer,,
0792,Multiple tendon transfer,,
0793,Hamstring to quadriceps transfer,,
0794,Pectoralis major or Latissimus dorsi transfer to biceps tendon,,
0795,Tendon transfer at elbow,,
0802,Radial club hand repair - stand alone procedure,,
0803,Hand tendons: Single tendon transfer (first),,
0809,Hand tendons: Substitution for intrinsic paralysis of hand,,
0811,Hand tendons: Opponens tendon transfer (including obtaining of graft),,
0812,"Percutaneous Tenotomy: All sites, Swool vrat",T,
0813,Torticollis,,
0815,Scalenotomy,,
0817,Scalenotomy with excision of first rib,,
0821,Tennis elbow,T,
0822,Open release elbow (Mitals) - stand alone procedure,,
0823,Excision or slide for Volkmann's Contracture,,
0825,"Hip: Open muscle release, Gamma Nail",T,
0829,Knee: Quadriceps plasty,T,
0831,Knee: Open tenotomy,T,
0835,Calf,,
0837,Open elongation tendon Achilles,T,
0838,"Percutaneous ""Hoke"" elongation tendo Achilles",T,
0845,"Foot: Plantar fasciotomy, Plantar fascia",,
0846,Foot: Postero-medial release for club-foot,,
0847,Excision: Semimembranosus,,
0849,Excision: Prepatellar,,
0851,Excision: Olecranon,T,
0853,"Excision: Small bursa or ganglion, Excision ganglian, Ganglionectomy, Verwyder Ganglion",T,
0855,Excision: Compound palmar ganglion or synovectomy,T,
0857,Bursae and ganglia: Aspiration or injection (no after-care) (modifier 0005 not applicable),T,
0859,Leg equalisation and congenital hips and feet: Leg shortening,,
0861,Leg equalisation and congenital hips and feet: Leg lengthening,M,
0863,Leg equalisation and congenital hips and feet: Epiphysiodesis at one level,,
0865,Congenital dislocation of hip: Initial non-operative reduction and application of plaster cast: One hip,,
0867,Congenital dislocation of hip: Initial non-operative reduction and application of plaster cast: Both hips,,
0868,Open reduction of congenital dislocation of the hip,,
0869,Subsequent plasters,,
0873,Congenital club foot: Manipulation and plaster: One foot,T,
0874,Ponseti technique assistant (medical practitioner),,
0883,Removal of internal fixatives or prosthesis: Readily accessible,M,
0884,Removal of internal fixatives: Less accessible,T,
0885,Removal of prosthesis for infection soon after operation,,
0886,Late removal of infected or not infected total joint replacement prosthesis (including six weeks after-care): ADD to the item for total joint replacement of the specific joint,M,
0887,Limb cast (excluding after-care) (modifier 0005 not applicable),T,
0889,"Spica, plaster jacket or hinged cast brace (excluding after-care)",,
0891,Turnbuckle cast for scoliosis (excluding after-care),,
0893,Adjustment or repair of turnbuckle cast for scoliosis (excluding after-care),,
0895,Club foot: Revision club foot release - stand alone procedure,,
0896,Club foot: Posterior release only - stand alone procedure,,
0900,Excision tarsal coalition - stand alone procedure,,
0901,Tenotomy: Single tendon,M,
0903,Hammer toe: One toe,M,
0905,Filleting of toe or Ruiz-Mora procedure,,
0906,Arthrodesis Hallux,M,
0907,Silver bunionectomy or similar for Hallux Valgus,M,
0909,Excision arthroplasty,,
0910,Cheilectomy or metatarsophangeal implant Hallux,M,
0911,"Metatarsal osteotomy or Lapidus or similar or Chevron - stand alone procedure, Bunion Herstel, Chevron osteotomy, Metatarsal Osteotomy",M,
0912,Replantation of amputated upper limb proximal to wrist joint,,
0913,Replantation of thumb,,
0914,"Replantation of a single digit (to be motivated), for multiple digits (modifier 0005 applicable)",,
0915,Replantation operation through the palm,,
0919,Tumours: Epidermoid cysts,,
0920,Tumours: Ganglion or fibroma,,
0921,Tumours: Nodular synovitis (Giant cell tumour of tendon sheath),M,
0922,"Removal of foreign bodies requiring incision: Under local anaesthetic, Foreign body parts in hands",,
0923,Removal of foreign bodies requiring incision: Under general or regional anaesthetic,M,
0924,Crushed hand injuries: Initial extensive soft tissue toilet under general anaesthetic (sliding scale) - Minimum,,
0925,Crushed hand injuries: Subsequent dressing changes under general anaesthetic,,
0927,"Excision of one vertebral body, for a lesion within the body (no decompression)",M,
0928,Excision of each additional vertebral segment for a lesion within the body (no decompression),,
0929,Manipulation of spine under general anaesthetic: (no after-care) (modifier 0005 not applicable),M,
0930,Posterior osteotomy of spine: One vertebral segment,,
0931,Posterior spinal fusion: One level,T,
0932,Posterior osteotomy of spine: Each additional vertebral segment,,
0933,Anterior spinal osteotomy with disc removal: One vertebral segment,M,
0936,Anterior spinal osteotomy with disc removal: Each additional vertebral segment,,
0938,Anterior fusion base of skull to C2,,
0939,Trans-abdominal anterior exposure of the spine for spinal fusion only if done by a second surgeon,,
0940,Trans-thoracic anterior exposure of the spine if done by a second surgeon,,
0941,"Anterior interbody fusion: One level, LAM, DISK, C4/5/6/7, L4/5, Rug met verlenging van inferior, Nek Fusie",M,
0942,"Anterior interbody fusion: Each additional level, Lumbar decompressions - Discectomy - Removal fixiation, Rug fusie, C spine anterior fusion, Lae anterior reseksie",M,
0943,"Laminectomy with decompression of nerve roots and disc removal: One level, L2-L3",,
0944,Posterior fusion: Occiput to C2,,
0946,Posterior spinal fusion: Each additional level,M,
0948,Posterior interbody lumbar fusion: One level,,
0950,Posterior interbody lumbar fusion: Each additional interspace,,
0952,Posterior fusion for spinal deformity: Up to 6 levels,M,
0954,Posterior fusion for spinal deformity: 7 to 12 levels,,
0955,Posterior fusion for spinal deformity: 13 or more levels,,
0956,Anterior fusion for spinal deformity: 2 or 3 levels,,
0957,Anterior fusion for spinal deformity: 4 to 7 levels,,
0958,Anterior fusion for spinal deformity: 8 or more levels,,
0959,Excision of coccyx,,
0960,Posterior non-segmental instrumentation,,
0961,Costo-transversectomy,M,
0962,Posterior segmental instrumentation: 2 to 6 vertebrae,M,
0963,Antero-lateral decompression of spinal cord or anterior debridement,,
0964,Posterior segmental instrumentation: 7 to 12 vertebrae,,
0966,Posterior segmental instrumentation:13 or more vertebrae,,
0968,"Anterior instrumentation: 2 to 3 vertebrae, C5/6 Nek",M,
0969,Skull or skull-femoral traction including two weeks after-care,,
0970,"Anterior instrumentation: 4 to 7 vertebrae, C4/5/6/7 Nek",,
0971,Halo-splint and POP jacket including two weeks after-care,,
0972,Anterior instrumentation: 8 or more vertebrae,,
0974,Additional pelvic fixation of instrumentation other than sacrum,,
0987,Repair of orbital floor (blowout fracture),,
0988,Genioplasty,,
0989,Open reduction and fixation of central mid-third facial fracture with displacement: Le Fort I,,
0990,Open reduction and fixation of central mid-third facial fracture with displacement: Le Fort II,,
0991,Open reduction and fixation of central mid-third facial fracture with displacement: Le Fort III,,
0992,Open reduction and fixation of central mid-third facial fracture with displacement: Le Fort I Osteotomy,,
0993,Open reduction and fixation of central mid-third facial fracture with displacement: Palatal Osteotomy,,
0994,Open reduction and fixation of central mid-third facial fracture with displacement: Le Fort II Osteotomy (team fee),,
0995,Open reduction and fixation of central mid-third facial fracture with displacement: Le Fort III Osteotomy (team fee),,
0996,Open reduction and fixation of central mid-third facial fracture with displacement: Fracture of maxilla without displacement,,
0997,Mandible: Fractured nose and zygoma: Open reduction and fixation,,
0999,"Mandible: Fractured nose and zygoma: Closed reduction by inter-maxillary fixation, Orbital, BSSO, Zygoma, Nose fracture, ORIF Dento-alveolar fracture + soft tissue repair",M,
1001,"Temporo-mandibular joint: Reconstruction for dysfunction, Temporomadibula, TMJ, TMD",,
1003,Manipulation: Immobilisation and follow-up of fractured nose,,
1005,Nasal fracture without manipulation,,
1007,Mandibulectomy,,
1009,Maxillectomy,,
1011,"Bone graft to mandible, Bone augmentation, Bone harvesting",M,
1012,"Adjustment of occlusion by ramisection, BSSO",M,
1013,Fracture of arch of zygoma without displacement,,
1015,"Fracture of arch of zygoma with displacement requiring operative manipulation (not including associated fractures), recent fracture (within four weeks)",,
1017,Fracture of arch of zygoma with displacement requiring operative manipulation but not including associated fractures (after four weeks),,
1018,Flexible nasopharyngolaryngoscope examination,,
1019,ENT endoscopy in rooms with rigid endoscope,,
1020,"Repair of perforated septum: Any method, Septumplasty",,
1022,Functional reconstruction of nasal septum,T,
1024,Insertion of silastic obturator into nasal septum perforation (excluding material),,
1025,Intranasal antrostomy (modifier 0005 to apply to opposite side of nose),T,
1027,Dacrocystorhinostomy,,
1029,"Turbinectomy (modifier 0005 to apply to opposite side of nose), Turbonektomy",T,
1030,Endoscopic turbinectomy: Laser or microdebrider,T,
1031,Removal of single nasal polyp at rooms (at initial consultation only),,
1033,Removal of multiple polyps in hospital under general anaesthetic,,
1034,Autogenous nasal bone transplant: Bone removal included,T,
1035,Functional endoscopic sinus surgery: Unilateral,,
1036,"Functional endoscopic sinus surgery: Bilateral, Petrosal sinus sampling, Venous sampling, FESS, ESS, Sinusspoeling, Sinoplasty, Septum cauterization and nasopharyngoscopy ",T,
1037,"Diathermy to nose or pharynx exclusive of consultation fee, uni- or bilateral: Under local anaesthetic",,
1039,"Diathermy to nose or pharynx exclusive of consultation fee, uni- or bilateral: Under general anaesthetic, Cauterization Nasal Cavity - Diathermy to nose or pharynx exclusive of consul",T,
1041,"Control severe epistaxis requiring hospitalisation: Anterior plugging, Nose cauterisation",T,
1043,Control severe epistaxis requiring hospitalisation: Anterior and posterior plugging,,
1045,Ligation anterior ethmoidal artery,,
1047,Caldwell-Luc operation: Unilateral,,
1048,"Endonasal frontal sinus drainage, with or without removal of tissue (modifier 0069 applies) ",,
1049,Ligation internal maxillary artery,,
1050,Vidian neurectomy (transantral or transnasal),,
1051,Removal nasopharyngeal fibroma,,
1052,"Instrumental examination of the nasopharynx including biopsy under general anaesthetic, Nasopharyngoscopy",T,
1053,"Frontal sinus drainage, trephine operation, Lynch",,
1054,Antroscopy through the canine fossa (modifier 0005 to apply to opposite side of nose),,
1055,External frontal ethmoidectomy,,
1056,"Anterior cranial fossa, craniofacial approach, extradural, including lateral rhinotomy, ethmoidectomy, sphenoidectomy, without maxillectomy or orbital exenteration",,
1057,"External ethmoidectomy and/or sphenoidectomy, Frenulum release - Frenulectomy",,
1058,Sublabial transseptal sphenoidotomy,,
1059,Frontal osteomyelitis,,
1060,Obliteration of frontal sinus,,
1061,Lateral rhinotomy,,
1062,Excision nasolabial cyst,,
1063,Removal of foreign bodies from nose: At rooms,,
1065,Removal of foreign body from nose: Under general anaesthetic,,
1067,Proof puncture at rooms: Unilateral,,
1069,"Proof puncture, uni- or bilateral under general anaesthetic, DDP",T,
1071,Proetz treatment (consultation fee only to be charged for first treatment),,
1077,"Septum abscess: At rooms, including after-care",,
1079,Septum abscess: Under general anaesthetic,,
1081,Oro-antral fistula (without Caldwell-Luc),,
1083,Choanal atresia: Intranasal approach,,
1084,Choanal atresia: Transpalatal approach,,
1085,"Total reconstruction of the nose: Including reconstruction of nasal septum (septum plasty), nasal pyramid (osteotomy) and nasal tip",,
1085A,"Total reconstruction of the nose: Including reconstruction of nasal septum (septum plasty), nasal pyramid (osteotomy) and nasal tip",,
1087,"Sub-total reconstruction consisting of any two of the following: Septum plasty, osteotomy, nasal tip reconstruction",,
1089,Forehead rhinoplasty (all stages): Total,T,
1091,Forehead rhinoplasty (all stages): Partial,T,
1093,"Forehead rhinoplasty (all stages): Rhinophyma without skin graft, Verwyder Rinofoom",T,
1095,"Full nasal reconstruction for secondary cleft lip deformity, Rhinoplasty",T,
1097,Partial nasal reconstruction for cleft lip deformity,,
1099,Columella reconstruction or lengthening,,
1101,"Tonsillectomy (dissection of the tonsils), T'S & A'S, Tonselektomy",T,
1102,Laser tonsillectomy,,
1105,"Removal of adenoids, Dubbel proof puncture, Adenoteonsilectomy. Adenotonsillektomie",T,
1106,Laser assisted functional reconstruction of palate uvula: In the rooms (+ item 5930 for hire of laser),,
1107,"Opening of quinsy: At rooms, Quincy",,
1108,Laser assisted functional reconstruction of palate uvula: In the rooms (+ item 5930 for hire of laser): Follow-up operation performed by the same surgeon,,
1109,"Opening of quinsy: Under general anaesthetic, Quincy",,
1110,Ludwig's Angina: Drainage,,
1111,Post tonsillectomy or adenoidectomy haemorrhage,,
1112,Pharyngeal pouch operation,,
1113,Retropharyngeal abscess: Internal approach,,
1115,Retropharyngeal abscess: External approach,,
1116,"Functional reconstruction of palate and uvula, Lppp",,
1117,Laryngeal intubation,,
1118,Laryngeal stroboscopy with video capture,,
1119,Laryngectomy without block dissection of the neck,,
1120,Emergency Intubation (Not to be billed with procedure codes),C/U,
1125,Operative laryngoscopy with excision of tumour and/or stripping of vocal cords (excluding after-care),,
1126,Post laryngectomy for voice restoration,,
1127,"Tracheotomy, ECMO + Trag, Trageostomie",T,
1128,Endolaryngeal operations,,
1129,"External laryngeal operation e.g. laryngeal stenosis, laryngocele, abductor, paralysis, laryngocele-fissure",,
1130,"Direct laryngoscopy: Diagnostic laryngoscopy including biopsy (also to be applied when a flexible fibre-optic laryngoscope was used), Lumen Buis (May be billed with Thoracotomy or main procedure without time)",T,
1131,Direct laryngoscopy plus foreign body removal,,
1132,"Bronchoscopy: Diagnostic bronchoscopy, Dubbel lumen & Jube (Without time) (May be billed with Thoracotomy or main procedure without time, if Dr requested codes) Deflating of one lung.",T,
1133,Bronchoscopy: Diagnostic bronchoscopy with removal of foreign body,,
1134,Bronchoscopy: Bronchoscopy with laser,,
1136,Nebulisation (in rooms),,
1137,Bronchial lavage,,
1138,"Thoracotomy: For broncho-pleural fistula (including ruptured bronchus, any cause), Torakotomie",T,
1139,Pleural needle biopsy (no after-care) (modifier 0005 not applicable),,
1141,Insertion of intercostal catheter (under water drainage),,
1142,Intra-pleural block,,
1143,Paracentesis chest: Diagnostic,,
1145,Paracentesis chest: Therapeutic,,
1147,Pneumothorax: Induction (diagnostic),,
1149,Pleurectomy,,
1151,Decortication of lung,T,
1153,"Chemical pleurodesis (instillation of silver nitrate, tetracycline, talc, etc.)",,
1155,Needle biopsy lung: (no after-care) (modifier 0005 not applicable),,
1157,Pneumonectomy,,
1159,Pulmonary lobectomy,,
1161,Segmental lobectomy,T,
1163,Excision tracheal stenosis: Cervical,,
1164,Excision tracheal stenosis: Intra thoracic,,
1167,Thoracoplasty associated with lung resection or done by the same surgeon within 6 weeks,,
1168,Thoracoplasty: Complete,,
1169,Thoracoplasty: Limited (osteoplastic),,
1171,Drainage empyema (including six weeks after treatment),,
1173,Drainage of lung abscess (including six weeks after treatment),,
1175,"Thoracotomy (limited): For lung or pleural biopsy, Chest drain insertion, Rib resection (Code 1132/1133 may be added without time, if Dr requested codes) ",T,
1177,"Major: Diagnostic, as for inoperable carcinoma",T,
1179,"Thoracoscopy, Throracotomy (Bronschiscopy & Throracotomy & Mediastroscopy = 1179 with time and 1132 without time",T,
1181,Lung transplant: Unilateral,,
1182,Harvesting donor lung: Unilateral,,
1183,Excision or plication of emphysematous cyst: Unilateral,,
1184,Excision or plication of emphysematous cyst: Bilateral synchronous (Median sternotomy),,
1185,"Excision or plication of emphysematous cyst: Re-exploration following sternal dehiscence, Sternotomy",,
1186,Flow volume test: Inspiration/expiration,,
1188,Flow volume test: Inspiration/expiration/pre- and post bronchodilator (to be charged for only with first consultation - thereafter item 1186 applies),,
1189,Forced expirogram only,,
1190,"Determination of resistance to airflow in paediatric patients, impulse oscilimetry",,
1191,N2 single breath distribution,,
1192,Peak expiratory flow only,,
1193,"Functional residual capacity or residual volume: Helium method, nitrogen open circuit method, or other method",,
1195,Thoracic gas volume,,
1196,"Determination of resistance to airflow, oscillary or plethysmographic methods",,
1197,"Compliance and resistance, using oesophageal balloon",,
1198,"Prolonged post exposure evaluation of bronchospasm with multiple spirometric determinations after antigen, cold air, methacholine, other chemical agent or after exercise, with subsequent spirometry",C/U,
1199,Pulmonary stress testing: For determination of VO2 max,C/U,
1200,"Carbon monoxide diffusing capacity, any method",,
1201,Maximum inspiratory/expiratory pressure,,
1202,Insertion of central venous catheter via peripheral vein in neonates,C/U,
1211,"Cardio-respiratory resuscitation: Prolonged attendance in cases of emergency (not necessarily in ICU) - 50,00 clinical procedure units per half hour or part thereof for the first hour per practitioner, thereafter 25,00 clinical procedure units per half hour up to a maximum of 150,00 clinical procedure units per practitioner. (Possible motivation required if not paid by fund)",C/U,
1212,Ventilation: First day,C/U,
1213,"Ventilation: Subsequent days, per day",C/U,
1214,"Ventilation: After two weeks, per day",C/U,
1215,"Insertion of arterial pressure cannula, A line",C/U,
1216,Insertion of Swan Ganz catheter for haemodynamics monitoring,C/U,
1217,Insertion of central venous line via peripheral vein,C/U,
1218,"Insertion of central venous line via subclavian or jugular veins, (0175) CVP / Central venous line (To be billed without 0023)",C/U,
1219,Hyperalimentation (daily tariff),C/U,
1220,Patient-controlled analgesic pump: Hire fee: Per 24 hours (Cassette to be charged for according to item 0201 per patient),C/U,
1221,"Professional fee for managing a patient-controlled analgesic pump: First 24 hours (for subsequent days charged the appropriate hospital follow-up consultation/visit code), Pynpump",C/U,
1222,Mediastinal tumours,C/U,
1223,Mediastinoscopy,,
1224,Mediastinotomy,,
1225,Excision of malignant chest wall tumours involving sternum and multiple ribs,,
1226,Removal of single rib with a lesion,,
1227,Prolonged neonatal resuscitation,,
1228,General Practitioner's fee for the taking of an ECG only: Without effort:  1/2 (item 1232),,
1229,General Practitioner's fee for the taking of an ECG only: Without and with effort: 1/2 (item 1233),,
1230,Physician's fee for interpreting an ECG: Without effort,,
1231,Physician's fee for interpreting an ECG: With and without effort,,
1232,Electrocardiogram: Without effort,,
1233,Electrocardiogram: With and without effort,,
1234,"Effort electrocardiogram with the aid of a special bicycle ergometer, monitoring apparatus and availability of associated apparatus",,
1235,Multi-stage treadmill test,,
1236,Electrocardiogram without effort: Under 4 years old,,
1237,24 Hour ambulatory blood pressure: Hire fee,,
1238,24 Hour ambulatory ECG monitoring (holter): Hire fee,,
1239,24 Hour ambulatory ECG monitoring (holter): Interpretation,,
1240,Signal averaged electrocardiogram,,
1241,X-ray Screening: Chest,,
1242,X-ray screening: Prosthetic valves,,
1243,Two week event triggered ambulatory ECG monitoring: Hire fee,,
1244,Two week event triggered ambulatory ECG monitoring: Interpretation,,
1245,Angiography cerebral: First two series,,
1246,Angiography peripheral: Per limb,,
1247,"Cardioversion for arrhythmias (any method) with doctor in attendance, TEE",,
1248,Paracentesis of pericardium,,
1249,Right and left cardiac catheterisation without coronary angiography (with or without biopsy),,
1250,Endomyocardial biopsy,,
1251,Transeptal puncture,,
1252,"Left heart catheterisation with coronary angiography (with or without biopsy), Mesenteric angiogram, Angiogram, Embolisation, Coronary , Angiogram & FFR, Angioplasty
(FOR GP PRACTICES TO CHANGE TO 1276 AND MAKE UNITS 9A/U - DISCOVERY SCHEMES ONLY) ",T,
1253,Right heart catheterisation (with or without biopsy),T,
1254,Catheterisation of coronary artery bypass grafts and/or internal mammary grafts,T,
1255,Tilt test,,
1256,Ventricular stimulation study,T,
1257,"Full electrophysiological study, VPI Ablasie, EPS, Heart study, VT ablation, Cardiac ablation",T,
1258,"Pacemaker: Permanent - single chamber, Pasaangeer, Reveal recorder replacement, Reveal insertion, Box change pacemaker",T,
1259,"Pacemaker: Permanent - dual chamber, Vervang pacemaker, DBS battery (DBS = Neuro)",T,
1260,AV nodal ablation,T,
1261,"Accessory pathway ablation, PVI, Cardiac ablation",T,
1262,Electrophysiological mapping,,
1263,"Insertion transvenous implantable defibrillator, CRTD",T,
1264,Test for implantable transvenous defibrillator,,
1265,"Renewal of pacemaker unit only, team fee, Box change, CRT battery, Pacemaker insertion",,
1266,Resiting pacemaker generator,,
1267,"Repositioning of catheter electrode, Repositioning pacemaker leads",,
1268,Threshold testing: Own equipment,,
1269,Threshold testing: Hospital equipment,,
1270,Programming of atrio-ventricular sequential pacemaker,,
1271,Cardiological supervision of Dobutamine magnetic resonance stress testing,,
1273,"Insertion of temporary pacemaker (modifier 0005 not applicable), Reveal insertion",T,
1275,Termination of arrhythmia - programmed stipulation and lead insertion of temporary pacer,T,
1276,"Percutaneous transluminal angioplasty: First cardiologist: Single lesion, Angiogram with stent, PTCA",T,
1277,Percutaneous transluminal angioplasty: Second cardiologist: Single lesion,T,
1278,Percutaneous transluminal angioplasty: First cardiologist: Second lesion,T,
1279,Percutaneous transluminal angioplasty: Second cardiologist: Second lesion,T,
1280,Percutaneous transluminal angioplasty: First cardiologist: Third or subsequent lesions (each),T,
